FID,Ward,Gender,FarmPeriod,LossExperienced,FarmSize,HarvestQuantity,HarvestSold,StoredForSeed,SunProtection,RainHarvest,HarvestDamage,StoreDuration,StoreReason,StoredAmount,StorageDamage,StoreDamageCause,StoreDamageAmount,Grading,GradingStage,Packaging,Buyer,TransportMode,Prices
0,Njabini/Kiburu,1, , , , , , ,1, , , , , , , , , , , , , , 
 ,Njabini/Kiburu,3, , , , , , ,2, , , , , , , , , , , , , , 
 ,Njabini/Kiburu,1, , , , , , , , , , , , , , , , , , , , , 
 ,Njabini/Kiburu,1, , , , , , , , , , , , , , , , , , , , , 
 ,Njabini/Kiburu,3, , , , , , , , , , , , , , , , , , , , , 
 ,Njabini/Kiburu,1, , , , , , , , , , , , , , , , , , , , , 
 ,Njabini/Kiburu,1, , , , , , , , , , , , , , , , , , , , , 
 ,Njabini/Kiburu,3, , , , , , , , , , , , , , , , , , , , , 
 ,Njabini/Kiburu,1, , , , , , , , , , , , , , , , , , , , , 
 ,Njabini/Kiburu,3, , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Murungaru, , , , , , , , , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , , , , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , ,1, , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , , , , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , , , , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , , , , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , , , , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , , , , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , , , , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , , , , , , , , , , , , , , , , , 
 ,Nyakio, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,North Kinangop, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Mirangine, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Kaimbaga, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Leshau/Pondo, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
 ,Shamata, , , , , , , , , , , , , , , , , , , , , , 
